"","Zipcode","City","State","Lat","Long","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"13",7675,"WESTWOOD","NJ",40.98,-74.03,13245,24083,1089095041
"14",7677,"WOODCLIFF LAKE","NJ",41.02,-74.05,2945,5471,325436960
"15",7885,"WHARTON","NJ",40.89,-74.58,5273,8999,240827990
"16",7981,"WHIPPANY","NJ",40.82,-74.41,4585,8057,292096795
"19",8889,"WHITEHOUSE STATION","NJ",40.6,-74.76,4691,8570,401312434
"20",7095,"WOODBRIDGE","NJ",40.55,-74.28,10018,17272,528315021
"21",7481,"WYCKOFF","NJ",40.99,-74.16,8079,15208,896273759
"22",10451,"BRONX","NY",40.84,-73.87,19434,31477,471446942
"23",10452,"BRONX","NY",40.84,-73.87,33517,56277,723508523
"24",10453,"BRONX","NY",40.84,-73.87,34152,57691,699611756
"25",10454,"BRONX","NY",40.84,-73.87,13139,22387,273119576
"26",10455,"BRONX","NY",40.84,-73.87,14914,25139,325274189
"27",10456,"BRONX","NY",40.84,-73.87,34793,58750,732907466
"28",10457,"BRONX","NY",40.84,-73.87,29023,48779,614273091
"29",10458,"BRONX","NY",40.84,-73.87,29920,50085,693447254
"30",10459,"BRONX","NY",40.84,-73.87,17977,30434,414021653
"31",10460,"BRONX","NY",40.84,-73.87,23466,39507,531807385
"32",10461,"BRONX","NY",40.84,-73.87,21862,35421,839765651
"33",10462,"BRONX","NY",40.84,-73.87,35620,57854,1197519842
"34",10463,"BRONX","NY",40.84,-73.87,31592,50313,1284853119
"35",10464,"BRONX","NY",40.84,-73.87,2131,3381,108256016
"36",10465,"BRONX","NY",40.84,-73.87,18686,30798,817052868
"37",10466,"BRONX","NY",40.84,-73.87,29153,47658,924776075
"38",10467,"BRONX","NY",40.84,-73.87,39540,64907,1114305720
"39",10468,"BRONX","NY",40.84,-73.87,34706,55824,840612915
"40",10469,"BRONX","NY",40.84,-73.87,28964,47625,1017556583
"41",10470,"BRONX","NY",40.84,-73.87,7000,10880,260963512
"42",10471,"BRONX","NY",40.84,-73.87,9876,15606,623827705
"43",10472,"BRONX","NY",40.84,-73.87,26025,43761,630416228
"44",10473,"BRONX","NY",40.84,-73.87,26122,42812,817850845
"45",10474,"BRONX","NY",40.84,-73.87,4369,7377,97578251
"46",10475,"BRONX","NY",40.84,-73.87,21124,31659,740068715
"48",10001,"NEW YORK","NY",40.71,-73.99,12534,16553,1031960117
"49",10002,"NEW YORK","NY",40.71,-73.99,45236,70604,1394042364
"51",10004,"NEW YORK","NY",40.71,-73.99,1967,2909,333623384
"52",10005,"NEW YORK","NY",40.71,-73.99,4697,6293,791578339
"53",10006,"NEW YORK","NY",40.71,-73.99,2236,2849,240075649
"54",10007,"NEW YORK","NY",40.71,-73.99,3551,5396,1143186856
"55",10008,"NEW YORK","NY",40.71,-73.99,550,732,27103411
"56",10009,"NEW YORK","NY",40.71,-73.99,31275,42731,1572036810
"57",10010,"NEW YORK","NY",40.71,-73.99,17401,22785,2084544435
